"Photon energy, eV","n","k"
0.006199209371654985,423.96,483.7
0.007000010582266244,397.93,458.5
0.008058770713883634,364.04,429.62
0.009000013605770886,339.62,408.92
0.009918734994647977,318.81,391.71
0.012398914699897968,274.38,354.35
0.015497829706266135,233.56,321.08
0.01859781409310589,202.63,295.42
0.021696798864815153,177.93,275.34
0.02479683748661994,157.3,258.26
0.02789672113965883,140.05,243.43
0.03099604685827493,125.14,230.19
0.03719562818621178,102.1,208.1
0.04000006047009282,91.955,199.99
0.04500006802885442,75.748,181.78
0.049999672312416706,68.535,164.81
0.05499897415299637,63.554,153.45
0.06000009070513923,58.58,144.23
0.06499826339874167,54.413,136.09
0.07000010582266245,50.951,129.49
0.08000012094018565,43.775,118.39
0.09000013605770885,38.461,108.96
0.09999531206798913,33.519,101.28
0.12000018141027846,26.216,88.197
0.13999863081164363,20.837,78.274
0.15999817712134273,16.755,69.857
0.17999765890898756,14.088,62.841
0.19999707617489024,12.195,57.156
0.21999784841829714,10.742,52.518
0.24000036282055692,9.558,48.593
0.25999577963197457,8.5881,45.257
0.2800004232906498,7.7757,42.367
0.3000004535256962,7.0796,39.826
0.3200004837607426,6.4808,37.595
0.3399994170819386,5.9564,35.608
0.3600005442308354,5.4903,33.814
0.37999321880930403,5.0735,32.183
0.4000006047009282,4.7097,30.737
0.4500006802885443,3.938,27.58
0.49999672312416715,3.3372,25.004
0.6000009070513924,2.4738,20.982
0.7000010582266244,1.9205,17.991
0.8000012094018564,1.5782,15.656
0.9000013605770886,1.3899,13.784
0.9999531206798912,1.3157,12.245
1.1000282799494252,1.3281,10.969
1.2000018141027848,1.3998,9.8914
1.2399906732117825,1.4359,9.4939
1.27999532776292,1.4867,9.0655
1.3199917749031143,1.6784,8.597
1.3599827505111524,1.9739,8.3058
1.3999863081164363,2.2802,8.1134
1.4799840933117638,2.6945,8.1878
1.5199915094349534,2.7668,8.2573
1.5599812203767043,2.7675,8.3866
1.5999817712134277,2.6154,8.4914
1.6999970854096929,2.1606,8.3565
1.7999765890898753,1.8301,8.0601
1.9008691059118392,1.5724,7.7354
1.9999707617489026,1.366,7.4052
2.1999784841829713,1.0728,6.7839
2.4000036282055697,0.8734,6.2418
2.5999577963197456,0.7278,5.7781
2.8000042329064976,0.6079,5.3676
3.000004535256962,0.52135,5.0008
3.3999941708193857,0.39877,4.3957
3.79993218809304,0.31474,3.9165
4.000006047009282,0.28003,3.7081
4.999967231241671,0.18137,2.9029
6.000009070513924,0.12677,2.3563
7.000010582266244,0.094236,1.9519
8.000012094018564,0.072505,1.6366
9.000013605770885,0.057167,1.3775
9.999531206798911,0.046304,1.1555
11.00028279949425,0.038468,0.95677
12.000018141027848,0.035753,0.77163
12.999925286307416,0.036437,0.59086
13.999863081164362,0.044168,0.39115
14.399854523536279,0.054863,0.29293
14.59994435217434,0.067041,0.2342
14.79984093311764,0.094517,0.16589
14.99984120317695,0.15065,0.11041
15.09995097164741,0.17943,0.094223
15.199915094349533,0.20569,0.079959
15.299889855508628,0.23344,0.068348
15.3998493892808,0.25936,0.061407
15.499960924252994,0.28271,0.056697
15.599812203767046,0.30373,0.053349
15.799799601526622,0.34031,0.04832
15.999817712134275,0.37197,0.044202
16.99997085409693,0.49131,0.032409
17.999765890898754,0.57251,0.027681
18.99995210069722,0.63242,0.02477
19.999707617489026,0.67912,0.02234
24.999836156208353,0.81512,0.015894
30.000045352569618,0.88013,0.011651
35.000052911331224,0.91802,0.0093121
40.000060470092826,0.94189,0.0078466
45.00006802885442,0.95834,0.0066191
49.999672312416706,0.97048,0.0057469
54.99897415299637,0.97998,0.0050004
60.000090705139236,0.98827,0.0043696
61.99829354590445,0.99143,0.0042397
63.99844496624152,0.99457,0.0041092
65.99818345209182,0.99791,0.0038926
67.99988341638772,1.0019,0.003673
70.00010582266245,1.007,0.0035425
70.99821762188611,1.0108,0.0034957
72.00010884616708,1.0169,0.0035249
72.05031812709188,1.0174,0.0035108
72.10059748377513,1.0179,0.0034877
72.20136701205435,1.0192,0.0034767
72.29820248008613,1.0206,0.00344
72.39952550837938,1.0226,0.0034141
72.50113293555916,1.0249,0.0036218
72.59877470025748,1.0305,0.0041164
72.70094255488432,1.0349,0.012476
72.79912361757954,1.0305,0.020072
72.89757022171902,1.0255,0.020012
73.0005813901906,1.0246,0.019145
73.09957398331449,1.0262,0.019564
73.19883541923468,1.0259,0.024227
73.29836679462,1.0219,0.026018
73.39816921211207,1.0194,0.025432
73.4982437803662,1.0181,0.024831
73.5985916140922,1.0173,0.024499
73.699213834096,1.0167,0.024375
73.80011156732127,1.0161,0.024282
73.9012859468914,1.0156,0.024228
73.99832135666948,1.0151,0.024184
74.50077360479492,1.0132,0.024343
75.00102076891882,1.0118,0.02402
75.4988353629885,1.011,0.023955
75.9986437618608,1.0106,0.023853
76.99924694640399,1.0095,0.02518
77.9970982845368,1.0078,0.024757
79.00101149044202,1.0075,0.024501
80.00012094018565,1.0075,0.024476
82.00012396369029,1.0077,0.02546
84.00012698719492,1.0074,0.026826
85.99860403211467,1.0065,0.028232
88.0007008539284,1.006,0.028956
90.00013605770884,1.0058,0.030918
91.99687425473007,1.0041,0.033392
93.99862580219842,1.0012,0.035311
96.00014512822278,0.99652,0.035883
97.99572196735672,0.99265,0.033061
99.99531206798912,0.99123,0.02992
105.00015873399366,0.99285,0.024415
110.00282799494252,0.99415,0.025452
115.00249274937363,0.99233,0.024928
120.00018141027847,0.99139,0.024063
124.99918078104177,0.98941,0.023421
129.99925286307416,0.98761,0.020606
134.99873415261126,0.98793,0.017765
139.9986308116436,0.98883,0.016304
144.99887428292388,0.98934,0.015437
149.99841203176948,0.98966,0.014773
159.99817712134276,0.98912,0.013728
169.9997085409693,0.98909,0.010987
179.99765890898755,0.99007,0.0096517
189.9995210069722,0.99054,0.0084716
199.99707617489025,0.99111,0.0075099
249.99836156208355,0.99313,0.0041863
300.0004535256962,0.9948,0.0023492
400.0006047009282,0.99694,0.00096887
499.9967231241671,0.99797,0.00043503
600.0009070513923,0.9986,0.00022001
700.0010582266244,0.99898,0.00011811
800.0012094018564,0.99924,0.000072992
900.0013605770885,0.9994,0.000046771
999.9531206798913,0.99953,0.000031115
1100.0282799494253,0.99961,0.000021586
1200.0018141027847,0.99968,0.000015628
1299.9925286307416,0.99974,0.000011636
1399.9863081164362,0.99979,0.00000894
1449.9887428292386,0.99981,0.0000078422
1499.984120317695,0.99983,0.0000068049
1519.9915094349535,0.99985,0.0000064818
1539.9849389280798,0.99987,0.0000061901
1549.9960924252996,0.99989,0.0000060484
1551.994535194709,0.99991,0.000011026
1553.9786605640122,0.99991,0.000023687
1557.9817470859475,0.99992,0.000032911
1558.9808426246993,0.99992,0.000041131
1559.9812203767044,0.99993,0.000049998
1561.9858324065171,0.99992,0.000071847
1563.9956030110718,0.9999,0.000085418
1579.9799601526622,0.99987,0.00007848
1594.9801558275622,0.99986,0.000074862
1674.986658287509,0.99984,0.000061633
1699.9970854096928,0.99984,0.000057974
1799.9765890898755,0.99985,0.000047138
1899.9952100697221,0.99986,0.000038497
1999.9707617489025,0.99987,0.000032079
2499.9836156208353,0.99991,0.000013642
3000.004535256962,0.99994,0.0000071408
3500.005291133122,0.99995,0.0000040484
4000.006047009282,0.99997,0.0000024843
4999.967231241671,0.99998,0.0000010726
6000.009070513924,0.999984,5.5102e-7
7000.010582266244,0.999989,3.1463e-7
