"Photon energy, eV","n","k"
0.825834007464237,2.243487,0.019418
0.827713905729411,2.243672,0.019437
0.8296021112944338,2.243857,0.019456
0.8314986787303146,2.244044,0.019475
0.8334035964226741,2.244232,0.019493
0.8353169865188901,2.244421,0.019511
0.8372389073047184,2.244612,0.019528
0.8391694147624178,2.244804,0.019545
0.8411085670760916,2.244997,0.019562
0.8430564223837316,2.245192,0.019578
0.8450131798697718,2.245387,0.019594
0.8469787589294131,2.245584,0.01961
0.8489532198724452,2.245783,0.019625
0.8509367654769625,2.245983,0.019639
0.8529293148151035,2.246185,0.019653
0.8549310742900097,2.246387,0.019667
0.856942034447715,2.246592,0.01968
0.8589622594277196,2.246798,0.019693
0.8609918133693825,2.247005,0.019705
0.8630309075859474,2.247214,0.019717
0.8650793879811188,2.247425,0.019729
0.8671375420235292,2.247637,0.019739
0.8692053646615828,2.247851,0.01975
0.8712828482469547,2.248067,0.01976
0.8733702113349894,2.248284,0.019769
0.8754674491450185,2.248503,0.019778
0.8775747070587074,2.248724,0.019786
0.8796919821553186,2.248946,0.019794
0.881819344761719,2.249171,0.019801
0.8839570221599651,2.249397,0.019808
0.8861049337614029,2.249625,0.019814
0.8882633097701045,2.249855,0.019819
0.8904320695299801,2.250087,0.019824
0.8926114455810769,2.250321,0.019828
0.8948013584951184,2.250557,0.019832
0.8970021223765643,2.250795,0.019835
0.8992136589418492,2.251036,0.019837
0.9014361274370339,2.251278,0.019839
0.9036696091200064,2.251523,0.01984
0.9059141860559825,2.251769,0.019841
0.9081699417927829,2.252018,0.019841
0.9104369587134625,2.25227,0.01984
0.9127153220280605,2.252523,0.019838
0.9150051995167114,2.252779,0.019836
0.9173066786799132,2.253038,0.019833
0.9196197646903767,2.253299,0.019829
0.9219446292116638,2.253562,0.019825
0.9242812790618914,2.253828,0.019819
0.9266300561684371,2.254097,0.019813
0.9289908017753926,2.254368,0.019807
0.9313636915533562,2.254642,0.019799
0.9337489066474962,2.254919,0.019791
0.9361464563784251,2.255198,0.019781
0.9385565233475626,2.255481,0.019771
0.9409792058185739,2.255766,0.019761
0.9434146030863536,2.256055,0.019749
0.9458627274567188,2.256346,0.019737
0.9483237681697165,2.25664,0.019723
0.950798004148219,2.256938,0.019709
0.9532852749266164,2.257239,0.019694
0.9557858628217192,2.257543,0.019678
0.9582998750287903,2.25785,0.019661
0.960827329055186,2.258161,0.019643
0.9633684250466606,2.258476,0.019624
0.9659231811462939,2.258793,0.019604
