"Photon energy, eV",n,k
4.132674236,1.68,0
4.110869811,1.68,0
4.089294262,1.68,0
4.067944006,1.68,0
4.046815136,1.68,0
4.025904605,1.68,0
4.00520867,1.68,0
3.984724815,1.68,0
3.964448654,1.68,0
3.944378551,1.68,0
3.924509505,1.68,0
3.904840378,1.68,0
3.885366683,1.68,0
3.86608662,1.68,0
3.846996598,1.68,0
3.828094175,1.68,0
3.8093766,1.68,0
3.790840816,1.68,0
3.772484898,1.68,0
3.754305536,1.68,0
3.736300206,1.68,0
3.718467091,1.68,0
3.700803068,1.68,0
3.683306072,1.68,0
3.665974071,1.68,0
3.648804097,1.68,0
3.631793878,1.68,0
3.614941849,1.68,0
3.598245175,1.68,0
3.581702019,1.68,0
3.565310602,1.68,0
3.549067899,1.68,0
3.532973145,1.68,0
3.5170231,1.68,0
3.501217028,1.68,0
3.485551793,1.68,0
3.470026404,1.68,0
3.454638709,1.68,0
3.439386598,1.68,0
3.424268853,1.68,0
3.409283144,1.68,0
3.394428029,1.68,0
3.379702084,1.68,0
3.365103083,1.68,0
3.350629935,1.68,0
3.33628076,1.68,0
3.322053677,1.68,0
3.3079477,1.68,0
3.293960729,1.68,0
3.28009182,1.68,0
3.2663392,1.68,0
3.252701165,1.68,0
3.23917706,1.68,0
3.225764429,1.68,0
3.212462934,1.68,0
3.199270182,1.68,0
3.186185845,1.68,0
3.173207845,1.68,0
3.16033514,1.68,0
3.147566949,1.68,0
3.134901022,1.68,0
3.122336867,1.68,0
3.10987302,1.68,0
3.097508517,1.68,0
3.085241944,1.68,0
3.073071914,1.68,0
3.060997752,1.68,0
3.049018316,1.68,0
3.037132064,1.68,0
3.025338118,1.68,0
3.013635417,1.68,0
3.002023572,1.68,0
2.990500427,1.68,0
2.979065628,1.68,0
2.967717715,1.68,0
2.956456154,1.68,0
2.945279947,1.68,0
2.934188128,1.68,0
2.923179119,1.68,0
2.912252836,1.68,0
2.901407922,1.68,0
2.890643486,1.68,0
2.879958622,1.68,0
2.869352869,1.68,0
2.858824733,1.68,0
2.848373782,1.68,0
2.837998762,1.68,0
2.827699242,1.68,0
2.817474407,1.68,0
2.80732325,1.68,0
2.797245364,1.68,0
2.787239194,1.68,0
2.777304734,1.68,0
2.767440842,1.68,0
2.757646956,1.68,0
2.747921958,1.68,0
2.738265861,1.68,0
2.728677208,1.68,0
2.71915566,1.68,0
2.709700324,1.68,0
2.700310525,1.68,0
2.690985752,1.68,0
2.681724978,1.68,0
2.672528262,1.68,0
2.663394226,1.68,0
2.654322935,1.68,0
2.645312883,1.68,0
2.636364135,1.68,0
2.627475733,1.68,0
2.618646886,1.68,0
2.609877679,1.68,0
2.601166845,1.68,0
2.592514295,1.68,0
2.583919113,1.68,0
2.575381067,1.68,0
2.566898935,1.68,0
2.558472973,1.68,0
2.55010199,1.68,0
2.541785923,1.68,0
2.533523914,1.68,0
2.525315446,1.68,0
2.517160462,1.68,0
2.509057826,1.68,0
2.501007337,1.68,0
2.4930085,1.68,0
2.485060664,1.68,0
2.477163492,1.68,0
2.469316506,1.68,0
2.461519228,1.68,0
2.453771033,1.68,0
2.446071763,1.68,0
2.438420653,1.68,0
2.430817406,1.68,0
2.423261568,1.68,0
2.415752704,1.68,0
2.40829023,1.68,0
2.400874003,1.68,0
2.39350303,1.68,0
2.386177737,1.68,0
2.378897146,1.68,0
2.371660849,1.68,0
2.364468716,1.68,0
2.357320077,1.68,0
2.350214801,1.68,0
2.343152228,1.68,0
2.336132244,1.68,0
2.329154198,1.68,0
2.322217979,1.68,0
2.31532295,1.68,0
2.308468749,1.68,0
2.301655527,1.68,0
2.294882145,1.68,0
2.288148769,1.68,0
2.28145505,1.68,0
2.274800122,1.68,0
2.268184412,1.68,0
2.26160707,1.68,0
2.255068019,1.68,0
2.248566668,1.68,0
2.242102947,1.68,0
2.235676276,1.68,0
2.229286587,1.68,0
2.222933323,1.68,0
2.216616405,1.68,0
2.210335292,1.68,0
2.204090149,1.68,0
2.197879963,1.68,0
2.191704906,1.68,0
2.18556469,1.68,0
2.179458544,1.68,0
2.173387123,1.68,0
2.167348974,1.68,0
2.161344967,1.68,0
2.155374138,1.68,0
2.149436206,1.68,0
2.143530899,1.68,0
2.137658179,1.68,0
2.131817998,1.68,0
2.126009416,1.68,0
2.120232625,1.68,0
2.114487363,1.68,0
2.108773372,1.68,0
2.103090179,1.68,0
2.097437537,1.68,0
2.09181563,1.68,0
2.086223776,1.68,0
2.080661743,1.68,0
2.075129712,1.68,0
2.06962702,1.68,0
2.064153434,1.68,0
2.058709141,1.68,0
2.053293492,1.68,0
2.04790647,1.68,0
2.042547638,1.68,0
2.037216982,1.68,0
2.031914281,1.68,0
2.026639315,1.68,0
2.021391667,1.68,0
2.016171128,1.68,0
2.010977879,1.68,0
2.005811315,1.68,0
2.000671428,1.68,0
1.995558014,1.68,0
1.990470669,1.68,0
1.98540939,1.68,0
1.980374175,1.68,0
1.975364431,1.68,0
1.970379973,1.68,0
1.965420793,1.68,0
1.960486706,1.68,0
1.955577515,1.68,0
1.950692852,1.68,0
1.945832713,1.68,0
1.940996921,1.68,0
1.936185289,1.68,0
1.931397634,1.68,0
1.926633601,1.68,0
1.921893194,1.68,0
1.917176419,1.68,0
1.912482556,1.68,0
1.907811983,1.68,0
1.903164166,1.68,0
1.898539295,1.68,0
1.893936847,1.68,0
1.88935666,1.68,0
1.884798922,1.68,0
1.88026312,1.68,0
1.875749443,1.68,0
1.871257385,1.68,0
1.866786962,1.68,0
1.862338019,1.68,0
1.857910401,1.68,0
1.853503954,1.68,0
1.849118363,1.68,0
1.844753808,1.68,0
1.840409642,1.68,0
1.836086385,1.68,0
1.831783394,1.68,0
1.827500687,1.68,0
1.823238123,1.68,0
1.818995399,1.68,0
1.814772697,1.68,0
1.810569719,1.68,0
1.806386162,1.68,0
1.802222055,1.68,0
1.798077418,1.68,0
1.793951804,1.68,0
1.789845235,1.68,0
1.785757579,1.68,0
1.78168871,1.68,0
1.777638496,1.68,0
1.773606809,1.68,0
1.769593366,1.68,0
1.765598509,1.68,0
1.761621495,1.68,0
1.757662661,1.68,0
1.753721732,1.68,0
1.749798586,1.68,0
1.745892954,1.68,0
1.742005016,1.68,0
1.738134356,1.68,0
1.734281155,1.68,0
1.730445147,1.68,0
1.726626074,1.68,0
1.72282411,1.68,0
1.719038854,1.68,0
1.715270628,1.68,0
1.711518745,1.68,0
1.707783524,1.68,0
1.704064571,1.68,0
1.700362067,1.68,0
1.696675756,1.68,0
1.693005538,1.68,0
1.689351302,1.68,0
1.685712949,1.68,0
1.682090374,1.68,0
1.67848361,1.68,0
1.674892144,1.68,0
1.67131629,1.68,0
1.667755946,1.68,0
1.664210872,1.68,0
1.66068084,1.68,0
1.657165887,1.68,0
1.65366605,1.68,0
1.6501811,1.68,0
1.64671094,1.68,0
1.643255477,1.68,0
1.639814619,1.68,0
1.636388271,1.68,0
1.632976344,1.68,0
1.629578878,1.68,0
1.626195648,1.68,0
1.622826567,1.68,0
1.619471416,1.68,0
1.616130498,1.68,0
1.612803334,1.68,0
1.609489971,1.68,0
1.606190318,1.68,0
1.602904549,1.68,0
1.599632068,1.68,0
1.596373174,1.68,0
1.593127782,1.68,0
1.589895556,1.68,0
