"Photon energy, eV","n","k"
0.6001170737323317,3.44,0
0.7000801097295297,3.45,0
0.7998979834393529,3.48,0
0.8997401119963695,3.5,0
0.9998724792991912,3.54,0
1.1001258867178325,3.57,0
1.2002341474646634,3.61,0
1.2998971213367552,3.68,0
1.4000021164532488,3.77,0.0401
1.4999296810198368,3.86,0.0812
1.6000024188037127,3.93,0.136
1.7000437053763846,4.01,0.199
1.8000027211541771,4.09,0.271
1.8998496388767963,4.17,0.363
2.0000675501387275,4.23,0.461
2.1998613809989305,4.36,0.69
2.4000036282055697,4.46,0.969
2.4996811982479783,4.47,1.12
2.5997942426735103,4.49,1.28
2.8000042329064976,4.47,1.64
2.9998593620396736,4.38,2.02
3.1995919337574117,4.17,2.38
3.3996212622182536,3.9,2.66
3.499412572201516,3.73,2.79
3.6000054423083543,3.55,2.88
3.7996992777535925,3.21,3
3.999489917196765,2.87,3.06
4.200006349359746,2.56,3.04
4.399722761997861,2.3,2.99
4.600526435365481,2.07,2.93
4.800007256411139,1.86,2.85
4.999362396495957,1.69,2.76
5.500629433589162,1.35,2.51
6.001170737323316,1.11,2.28
6.50153054185106,0.951,2.07
7.000801097295297,0.832,1.89
7.5005558035753,0.735,1.74
7.99897983439353,0.66,1.6
8.497888103708,0.597,1.47
8.997401119963694,0.543,1.35
9.500704017862047,0.497,1.24
9.998724792991913,0.459,1.14
10.498237716604548,0.423,1.04
11.001258867178324,0.392,0.946
11.501316088413702,0.363,0.847
12.002341474646633,0.327,0.726
