"Photon energy, eV",n,k
0.088560134,3.4142,1.09E-13
0.095372452,3.4144,1.09E-13
0.103320156,3.4145,1.09E-13
0.112712898,3.4147,1.09E-13
0.123984187,3.415,1.09E-13
0.137760208,3.4153,1.09E-13
0.154980234,3.4158,1.09E-13
0.177120268,3.4165,1.09E-13
0.206640312,3.4177,1.09E-13
0.247968375,3.4195,1.09E-13
0.309960469,3.4229,1.09E-13
0.413280625,3.4302,1.09E-13
0.450851591,3.4334,1.09E-13
0.49593675,3.4375,1.09E-13
0.551040833,3.4431,1.09E-13
0.619920937,3.451,1.09E-13
0.652548355,3.455,1.09E-13
0.688801041,3.4597,1.09E-13
0.72931875,3.4653,1.09E-13
0.751419318,3.4684,1.09E-13
0.774901171,3.4719,1.09E-13
0.799897983,3.4757,1.09E-13
0.82656125,3.4799,1.09E-13
0.855063362,3.4845,1.09E-13
0.885601339,3.4896,1.09E-13
0.898436141,3.4918,1.09E-13
0.911648437,3.4941,1.09E-13
0.92525513,3.4965,1.09E-13
0.939274147,3.499,1.09E-13
0.953724519,3.5016,1.09E-13
0.968626464,3.5043,1.09E-13
0.984001488,3.5072,1.09E-13
0.999872479,3.5102,1.09E-13
1.016263831,3.5133,1.09E-13
1.033201562,3.5167,1.09E-13
0.855063362,3.487,1.09E-13
0.861001302,3.488,1.38E-13
0.86702229,3.49,2.04E-13
0.873128081,3.492,4.29E-13
0.879320478,3.492,6.04E-13
0.885601339,3.493,1.04E-12
0.891972571,3.496,1.74E-12
0.898436141,3.496,2.64E-12
0.904994069,3.496,3.90E-12
0.911648437,3.497,6.29E-12
0.918401388,3.499,1.04E-11
0.92525513,3.5,1.81E-11
0.932211936,3.501,4.20E-11
0.939274147,3.502,8.72E-11
0.946444179,3.503,1.59E-10
0.953724519,3.505,2.72E-10
0.961117732,3.506,4.48E-10
0.968626464,3.509,7.53E-10
0.976253444,3.509,1.27E-09
0.984001488,3.512,2.34E-09
0.991873499,3.513,5.88E-09
0.999872479,3.515,1.43E-08
1.008001524,3.517,2.71E-08
1.016263831,3.518,4.79E-08
1.024662706,3.52,8.09E-08
1.033201562,3.522,1.39E-07
1.041883928,3.524,2.32E-07
1.050713453,3.526,5.56E-07
1.05969391,3.527,1.7653E-06
1.068829202,3.53,3.4275E-06
1.078123369,3.533,5.6876E-06
1.087580592,3.534,0.000008621
1.097205199,3.537,0.000012382
1.107001674,3.54,0.000017068
1.116974662,3.542,0.000022913
1.127128977,3.545,0.000030217
1.137469609,3.547,0.00003977
1.148001735,3.549,0.000052168
1.158730724,3.553,0.00006782
1.169662146,3.556,0.00009245
1.180801785,3.559,0.00013043
1.192155648,3.562,0.00017959
1.203729975,3.565,0.00024048
1.215531249,3.568,0.00031437
1.227566212,3.572,0.00039616
1.239841874,3.575,0.0004902
1.25236553,3.579,0.00059638
1.26514477,3.582,0.00071334
1.278187499,3.578,0.0008406
1.291501952,3.584,0.00098243
1.30509671,3.584,0.0011393
1.318980717,3.59,0.0013061
1.333163306,3.597,0.0014757
1.347654211,3.598,0.0016787
1.362463598,3.604,0.0018864
1.377602083,3.61,0.0021092
1.393080758,3.613,0.0023464
1.408911221,3.617,0.0026001
1.425105603,3.622,0.0028697
1.441676598,3.628,0.0031563
1.458637499,3.636,0.0034605
1.476002231,3.641,0.0037828
1.493785391,3.646,0.0041235
1.512002286,3.655,0.0044836
1.530668981,3.662,0.004864
1.549802343,3.669,0.0052655
1.569420094,3.677,0.0056888
1.589540865,3.684,0.0061338
1.610184252,3.693,0.0066054
1.631370887,3.701,0.0070942
1.653122499,3.712,0.0076156
1.675461992,3.719,0.0081618
1.698413526,3.73,0.0087312
1.722002603,3.741,0.0093335
1.746256161,3.753,0.009961
1.771202678,3.765,0.010623
1.796872282,3.776,0.011317
1.823296874,3.791,0.012045
1.85051026,3.805,0.012807
1.878548294,3.817,0.013608
1.907449037,3.835,0.014447
1.937252929,3.851,0.014693
1.968002975,3.869,0.016268
1.999744959,3.888,0.016809
2.032527663,3.908,0.017257
2.066403124,3.931,0.018521
2.101426906,3.954,0.020076
2.137658404,3.977,0.021896
2.175161183,4.006,0.023746
2.214003347,4.038,0.026551
2.254257953,4.073,0.028038
2.296003471,4.103,0.029896
2.339324291,4.145,0.034804
2.384311297,4.187,0.039531
2.431062499,4.235,0.043831
2.479683749,4.289,0.048542
2.530289539,4.349,0.05381
2.583003905,4.412,0.059817
2.637961435,4.485,0.07024
2.695308422,4.572,0.079105
2.755204165,4.673,0.095362
2.817822442,4.79,0.11201
2.883353196,4.932,0.13766
2.952004463,5.11,0.17694
3.024004572,5.341,0.24127
3.099604686,5.623,0.32627
3.179081729,6.025,0.50308
3.262741775,6.587,0.98399
3.350923985,6.82,2.1403
3.444005206,5.914,2.9135
3.542405355,5.423,2.9078
3.646593748,5.245,2.9573
3.757096589,5.135,3.0935
3.874505857,5.085,3.2824
3.999489917,5.091,3.6239
4.132806248,5.049,4.29
4.275316808,4.185,5.3124
4.428006694,2.84,5.1961
4.592006942,2.03,4.5958
4.768622594,1.737,3.9932
4.959367497,1.637,3.5889
